"startpoint";"replicata_export_date";"parent";"id";"type";"title";"description";"subject";"relatedItems";"location";"language";"effectiveDate";"expirationDate";"creation_date";"modification_date";"creators";"contributors";"rights";"allowDiscussion";"excludeFromNav";"nextPreviousEnabled";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"synonyms"
"Start point";"Export Date";"Parent folder";"Identifier";"Content type";"Title";"label_description";"label_tags";"label_related_items";"label_location";"label_language";"label_effective_date";"label_expiration_date";"label_creation_date";"label_modification_date";"label_creators";"label_contributors";"label_copyrights";"label_allow_comments";"label_exclude_from_nav";"label_nextprevious";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"Synonyms"
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/permanent/molar";"m3";"Mars Category";"M3";"";"";"";"";"fr";"";"";"25/05/2011 15:22:13";"25/05/2011 15:22:13";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/permanent/molar";"m2";"Mars Category";"M2";"";"";"";"";"fr";"";"";"25/05/2011 15:22:13";"25/05/2011 15:22:13";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/permanent/incisor";"i1";"Mars Category";"I1";"";"";"";"";"fr";"";"";"25/05/2011 15:22:13";"25/05/2011 15:22:13";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/permanent/incisor";"i2";"Mars Category";"I2";"";"";"";"";"fr";"";"";"25/05/2011 15:22:13";"25/05/2011 15:22:13";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/permanent/canine";"c1";"Mars Category";"C1";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual";"molar";"Mars Category";"Molar";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual";"incisor";"Mars Category";"Incisor";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual";"canine";"Mars Category";"Canine";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual/molar";"dm1";"Mars Category";"Dm1";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual/molar";"dm2";"Mars Category";"Dm2";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual/incisor";"di1";"Mars Category";"Di1";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual/incisor";"di2";"Mars Category";"Di2";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/hominid/tooth/decidual/canine";"dc1";"Mars Category";"Dc1";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/flora";"charcoal";"Mars Category";"Charcoal";"";"";"";"";"fr";"";"";"25/05/2011 15:17:01";"25/05/2011 15:17:01";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/flora";"fiber";"Mars Category";"Fiber";"";"";"";"";"fr";"";"";"25/05/2011 15:17:05";"25/05/2011 15:17:05";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/flora";"wood";"Mars Category";"Wood";"";"";"";"";"fr";"";"";"25/05/2011 15:17:09";"25/05/2011 15:17:09";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/flora";"leave";"Mars Category";"Leave";"";"";"";"";"fr";"";"";"25/05/2011 15:17:13";"25/05/2011 15:17:13";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/flora";"fruit";"Mars Category";"Fruit";"";"";"";"";"fr";"";"";"25/05/2011 15:17:16";"25/05/2011 15:17:16";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/flora";"sead";"Mars Category";"Sead";"";"";"";"";"fr";"";"";"25/05/2011 15:17:21";"25/05/2011 15:17:21";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"mammal";"Mars Category";"Mammal";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"reptile";"Mars Category";"Reptile";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"fish";"Mars Category";"Fish";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"amphibian";"Mars Category";"Amphibian";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"bird";"Mars Category";"Bird";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"undetermined";"Mars Category";"Undetermined";"";"";"";"";"fr";"";"";"25/05/2011 15:22:14";"25/05/2011 15:22:14";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"unknown";"Mars Category";"Unknown";"";"";"";"";"fr";"";"";"25/05/2011 15:22:15";"25/05/2011 15:22:15";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/fauna";"none";"Mars Category";"None";"";"";"";"";"fr";"";"";"25/05/2011 15:22:15";"25/05/2011 15:22:15";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"lithic";"Mars Category";"Lithic";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"vegetal-hard-tissue";"Mars Category";"Vegetal Hard Tissue";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"ceramic";"Mars Category";"Ceramic";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"metal";"Mars Category";"Metal";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"animal-soft-tissue";"Mars Category";"Animal Soft Tissue";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
